"age","gender","educ","income","religion","state","partyid","slavery","try","favors","deserve","ideo","date","marry","vote","trumpft","clintonft","color2","abtrace","checkemo","treat","treat2","raceresent","oldfash","trumpvote","trumpvclinft"
48,2,4,19,2,33,5,3,2,2,3,6,2,2,4,35,38,"2",2,"20",5,1,0.265622579019085,0.880024296731842,0,-3
62,2,4,4,1,38,3,4,3,1,2,4,1,5,1,62,71,"3,5",1,"20",5,1,0.296369735520853,-1.35285779580556,0,-9
65,2,3,25,1,13,6,5,1,1,5,6,1,5,2,100,0,"3,5",2,"20",2,1,2.5535836306069,-1.35285779580556,1,100
51,2,4,19,2,10,2,5,1,1,3,4,3,1,2,83,43,"6",2,"11,1,13,3,15,16,18,9",5,1,1.80153943386097,2.09541522326469,1,40
44,1,4,6,1,44,4,4,2,2,3,4,2,4,3,9,0,"3,5",2,"20",4,1,0.614024313280246,-0.137466869272721,0,9
23,2,4,12,6,36,4,3,4,3,4,4,1,3,4,0,NA,"4",1,"4",2,1,-0.587841641780507,-0.335366629801002,0,NA
64,2,5,25,2,39,3,2,2,2,3,3,3,3,3,6,8,"3,5",2,"20",3,1,-0.0827791552420761,1.07792405726012,0,-2
44,1,3,19,5,22,7,1,3,3,3,7,1,5,2,100,0,"3,5",2,"20",4,1,-1.2702942758228,-1.35285779580556,1,100
52,2,4,12,6,15,4,2,5,3,2,4,1,5,3,27,66,"3,5",2,"20",2,1,-2.07866050564059,-1.35285779580556,0,-39
62,1,6,25,1,38,4,5,2,2,5,4,1,5,2,53,0,"3,5",2,"20",4,1,1.71447024428734,-1.35285779580556,1,53
52,2,4,13,2,36,3,4,2,2,3,4,2,3,4,36,75,"3,5",1,"20",2,1,0.614024313280246,0.37127871372956,0,-39
41,2,4,13,6,14,4,2,4,2,3,4,2,1,2,70,30,"3,5",2,"20",3,1,-0.863525020948066,1.38876987973412,1,40
26,1,5,25,1,5,5,4,2,1,4,5,2,3,2,36,1,"6",2,"20",1,0,1.43878686511978,0.37127871372956,1,35
52,2,4,10,1,44,5,5,2,1,5,5,1,3,2,76,0,"3,5",2,"20",2,1,2.1632106977539,-0.335366629801002,1,76
42,2,5,17,2,26,7,5,2,1,5,7,5,1,2,91,5,"3,5",2,"20",5,1,2.1632106977539,3.50870591032581,1,86
54,2,5,18,1,36,1,4,2,2,3,6,5,1,1,29,71,"3,5",1,"20",4,1,0.614024313280246,3.50870591032581,0,-42
31,2,4,14,5,36,2,5,1,1,5,4,5,1,1,13,76,"4",1,"20",3,1,2.5535836306069,3.50870591032581,0,-63
33,2,6,18,1,23,3,1,1,2,2,3,1,2,1,10,76,"3",2,"20",3,1,-0.416830055023206,0.17337895320128,0,-66
30,1,6,23,6,33,3,1,1,1,2,2,4,5,1,8,91,"3,5",1,"20",4,1,0.0319103984433592,0.767078234786122,0,-83
54,1,4,7,5,46,4,4,3,2,3,4,1,3,2,1,1,"3,5",2,"20",4,1,0.223651380427251,-0.335366629801002,1,0
55,2,3,11,3,14,3,2,2,2,2,3,1,3,1,40,76,"3,5",2,"20",1,0,-0.45880125361504,-0.335366629801002,0,-36
46,2,4,13,5,18,4,3,3,3,3,4,3,3,3,51,45,"6",2,"20",3,1,-0.573490807300476,1.07792405726012,0,6
33,2,3,16,5,5,4,3,4,4,3,6,1,5,4,2,3,"3,5",1,"20",2,1,-1.41260419362004,-1.35285779580556,0,-1
56,2,2,18,1,36,4,5,1,1,5,7,2,2,4,19,4,"3,5",2,"20",1,0,2.5535836306069,0.880024296731842,0,15
59,2,5,14,2,6,4,5,2,1,5,4,1,5,2,72,6,"3,5",2,"20",4,1,2.1632106977539,-1.35285779580556,1,66
39,1,3,15,5,47,5,4,2,2,3,5,1,5,3,40,22,"6",2,"20",5,1,0.614024313280246,-1.35285779580556,0,18
53,2,4,16,1,49,4,5,2,2,5,4,2,2,2,86,0,"3,5",2,"20",1,0,1.71447024428734,0.880024296731842,1,86
24,1,5,19,5,44,1,1,4,5,1,2,1,5,1,1,84,"6",1,"1,16,9",2,1,-3.31019231235485,-1.35285779580556,0,-83
48,1,6,25,5,22,6,4,2,1,5,5,1,3,1,0,60,"3,5",1,"20",3,1,1.81480896349274,-0.335366629801002,0,-60
28,1,5,1,2,44,5,3,3,3,3,4,2,3,2,48,2,"5",2,"20",4,1,-0.573490807300476,0.37127871372956,1,46
34,1,5,19,2,24,6,2,4,2,2,5,1,5,2,50,25,"3,5",1,"20",4,1,-1.23954711932103,-1.35285779580556,1,25
49,2,4,17,5,23,6,5,2,1,4,4,1,5,3,2,2,"6",2,"20",4,1,1.78718859938094,-1.35285779580556,0,0
46,2,2,1,5,14,3,3,3,3,3,3,3,3,4,89,21,"4",2,"1,13,14,3,15,4,6,18,19,9",3,1,-0.573490807300476,1.07792405726012,0,68
60,2,3,24,1,23,7,5,2,2,5,7,1,3,2,92,1,"6",2,"20",2,1,1.71447024428734,-0.335366629801002,1,91
55,2,4,13,1,18,2,1,4,2,1,2,1,5,1,0,92,"3,5",1,"20",5,1,-1.96397095195516,-1.35285779580556,0,-92
26,2,4,15,5,10,4,1,5,5,1,2,1,5,3,NA,73,"6",1,"20",2,1,-3.70056524520785,-1.35285779580556,0,NA
55,2,5,18,1,44,6,5,2,2,4,5,4,2,2,66,5,"6",2,"20",4,1,1.33844814591437,2.29331498379297,1,61
32,2,4,20,5,23,3,2,5,5,1,4,1,5,1,2,67,"3,5",1,"20",5,1,-3.35216351094669,-1.35285779580556,0,-65
58,1,3,8,5,17,4,2,1,1,5,4,5,3,2,100,2,"6",2,"1,9",5,1,1.50837842782341,2.49121474432125,1,98
32,1,5,25,2,50,4,2,5,3,2,4,2,5,1,10,34,"3,5",1,"20",4,1,-2.07866050564059,-0.646212452275002,0,-24
49,1,5,16,2,26,4,5,1,1,5,7,5,1,2,100,0,"3,5",2,"20",5,1,2.5535836306069,3.50870591032581,1,100
18,2,4,21,1,33,2,1,5,4,1,2,1,5,1,0,81,"3,5",1,"20",2,1,-3.25182479174128,-1.35285779580556,0,-81
25,1,4,18,2,39,6,4,1,1,3,6,1,4,2,93,3,"3,5",2,"20",1,0,1.45313769959981,-0.844112212803283,1,90
54,2,3,12,6,43,4,2,5,4,2,4,2,2,4,13,43,"3,5",1,"20",5,1,-2.52740095910716,0.880024296731842,0,-30
47,1,4,19,2,31,2,1,1,1,1,4,1,1,1,10,86,"6",1,"1,3",5,1,-0.344111699929605,0.682124536203561,0,-76
46,1,5,24,5,33,1,1,5,2,1,1,1,5,1,0,100,"3,5",1,"20",5,1,-2.35434388480815,-1.35285779580556,0,-100
23,2,3,17,1,3,5,2,2,2,2,4,1,3,2,71,2,"3,5",2,"20",1,0,-0.45880125361504,-0.335366629801002,1,69
48,1,6,25,5,14,1,1,5,3,2,1,1,3,1,0,91,"3,5",1,"20",4,1,-2.42706223990175,-0.335366629801002,0,-91
63,2,3,3,1,38,7,4,4,2,4,7,4,2,2,93,1,"3,5",2,"20",4,1,0.20930054594722,2.29331498379297,1,92
46,2,5,21,5,5,4,4,1,1,5,4,1,5,3,NA,NA,"5",1,"2",5,1,2.20518189634574,-1.35285779580556,0,NA
33,2,4,15,6,34,7,5,2,1,5,7,5,1,2,82,2,"3,5",2,"20",5,1,2.1632106977539,3.50870591032581,1,80
50,1,5,23,5,24,5,2,3,2,4,6,1,3,2,35,5,"3,5",2,"20",1,0,-0.0971299897221069,-0.335366629801002,1,30
36,2,5,17,2,22,3,3,3,3,3,4,1,5,1,11,58,"3,5",1,"20",4,1,-0.573490807300476,-1.35285779580556,0,-47
62,1,4,24,2,10,1,1,4,4,2,2,1,4,1,1,96,"3,5",1,"20",3,1,-2.48542976051532,-0.844112212803283,0,-95
40,2,3,17,2,22,7,2,2,1,3,4,3,3,3,19,0,"3",1,"20",5,1,0.36596129822449,1.07792405726012,0,19
54,2,5,25,6,22,4,4,1,1,5,4,1,4,2,39,8,"3,5",2,"20",1,0,2.20518189634574,-0.844112212803283,1,31
65,2,5,12,6,5,1,1,5,5,1,1,1,5,1,1,91,"3,5",1,"20",5,1,-3.70056524520785,-1.35285779580556,0,-90
31,1,5,18,5,33,6,2,2,2,2,6,2,2,3,NA,NA,"1",1,"11,13,3,5,6",3,1,-0.45880125361504,0.880024296731842,0,NA
29,2,4,16,6,15,5,2,4,4,4,5,1,5,1,NA,48,"3,5",2,"20",4,1,-1.38498382950823,-1.35285779580556,0,NA
25,2,3,1,6,24,6,5,3,3,4,6,3,5,2,50,0,"3,5",2,"20",1,0,0.499334759594811,0.0604328912555598,1,50
54,1,5,21,2,31,5,1,4,4,2,4,1,3,2,70,53,"3,5",1,"20",1,0,-2.48542976051532,-0.335366629801002,1,17
33,2,4,11,5,22,3,1,4,4,4,3,1,4,1,0,91,"4",1,"11,1",2,1,-1.73338556376939,-0.844112212803283,0,-91
30,2,6,10,5,30,3,2,4,4,2,2,1,5,3,1,39,"3,5",2,"20",3,1,-2.13702802625416,-1.35285779580556,0,-38
23,2,3,2,6,44,4,2,1,1,3,4,1,3,2,100,NA,"4",NA,"",5,1,0.756334231077485,-0.335366629801002,1,NA
58,1,5,11,5,31,4,2,3,3,3,4,2,3,3,NA,44,"3,5",2,"20",4,1,-0.921892541561637,0.37127871372956,0,NA
35,2,5,20,1,10,5,2,2,2,2,5,2,2,2,83,84,"3,5",1,"20",1,0,-0.45880125361504,0.880024296731842,1,-1
28,1,6,18,2,26,5,2,2,2,4,4,2,4,3,4,3,"3,5",2,"20",2,1,0.293242943130888,-0.137466869272721,0,1
